benchmark,run,result
quadratic,isSSA,yes
montgomery,isSSA,yes
primes-between,isSSA,yes
mod_pow,isSSA,yes
orders,isSSA,yes
sum-check,isSSA,yes
palindrome,isSSA,yes
rot13,isSSA,yes
totient,isSSA,yes
fib_recursive,isSSA,yes
relative-primes,isSSA,yes
hanoi,isSSA,yes
is-decreasing,isSSA,yes
check-primes,isSSA,yes
sum-sq-diff,isSSA,yes
fitsinside,isSSA,yes
hamming,isSSA,yes
fact,isSSA,yes
loopfact,isSSA,yes
recfact,isSSA,yes
geometric-sum,isSSA,yes
factors,isSSA,yes
perfect,isSSA,yes
binpow,isSSA,yes
bitshift,isSSA,yes
digital-root,isSSA,yes
up-arrow,isSSA,yes
mccarthy91,isSSA,yes
sum-divisors,isSSA,yes
permutation,isSSA,yes
combination,isSSA,yes
ackermann,isSSA,yes
pythagorean_triple,isSSA,yes
gebmm,isSSA,yes
euclid,isSSA,yes
bbs,isSSA,yes
sum-of-cubes,isSSA,yes
binary-fmt,isSSA,yes
lcm,isSSA,yes
gcd,isSSA,yes
triangle,isSSA,yes
catalan,isSSA,yes
armstrong,isSSA,yes
pascals-row,isSSA,yes
collatz,isSSA,yes
sum-bits,isSSA,yes
sqrt_bin_search,isSSA,yes
rectangles-area-difference,isSSA,yes
mod_inv,isSSA,yes
karatsuba,isSSA,yes
reverse,isSSA,yes
fizz-buzz,isSSA,yes
bitwise-ops,isSSA,yes
sum-digits,isSSA,yes
delannoy,isSSA,yes
ray-sphere-intersection,isSSA,yes
birthday,isSSA,yes
conjugate-gradient,isSSA,yes
leibniz,isSSA,yes
n_root,isSSA,yes
newton,isSSA,yes
euler,isSSA,yes
riemann,isSSA,yes
mandelbrot,isSSA,yes
logistic,isSSA,yes
norm,isSSA,yes
cordic,isSSA,yes
exponentiation-by-squaring,isSSA,yes
pow,isSSA,yes
ray-bbox-intersection,isSSA,yes
sqrt,isSSA,yes
