benchmark,run,result
quadratic,baseline,-1
quadratic,ssa,-1
montgomery,baseline,11
montgomery,ssa,11
primes-between,baseline,2
primes-between,ssa,2
mod_pow,baseline,445
mod_pow,ssa,445
orders,baseline,0 1
orders,ssa,0 1
sum-check,baseline,500500
sum-check,ssa,500500
palindrome,baseline,true
palindrome,ssa,true
rot13,baseline,23
rot13,ssa,23
totient,baseline,2023
totient,ssa,2023
fib_recursive,baseline,55
fib_recursive,ssa,55
relative-primes,baseline,19
relative-primes,ssa,19
hanoi,baseline,0 2
hanoi,ssa,0 2
is-decreasing,baseline,true
is-decreasing,ssa,true
check-primes,baseline,0
check-primes,ssa,0
sum-sq-diff,baseline,25164150
sum-sq-diff,ssa,25164150
fitsinside,baseline,true
fitsinside,ssa,true
hamming,baseline,2
hamming,ssa,2
fact,baseline,2432902008176640000
fact,ssa,2432902008176640000
loopfact,baseline,40320
loopfact,ssa,40320
recfact,baseline,40320
recfact,ssa,40320
geometric-sum,baseline,242
geometric-sum,ssa,242
factors,baseline,2
factors,ssa,2
perfect,baseline,0
perfect,ssa,0
binpow,baseline,2048
binpow,ssa,2048
bitshift,baseline,96
bitshift,ssa,96
digital-root,baseline,4
digital-root,ssa,4
up-arrow,baseline,65536
up-arrow,ssa,65536
mccarthy91,baseline,91
mccarthy91,ssa,91
sum-divisors,baseline,1
sum-divisors,ssa,1
permutation,baseline,120
permutation,ssa,120
combination,baseline,220
combination,ssa,220
ackermann,baseline,509
ackermann,ssa,509
pythagorean_triple,baseline,75 100
pythagorean_triple,ssa,75 100
gebmm,baseline,188
gebmm,ssa,188
euclid,baseline,2
euclid,ssa,2
bbs,baseline,1
bbs,ssa,1
sum-of-cubes,baseline,441
sum-of-cubes,ssa,441
binary-fmt,baseline,1
binary-fmt,ssa,1
lcm,baseline,192
lcm,ssa,192
gcd,baseline,4
gcd,ssa,4
triangle,baseline,666
triangle,ssa,666
catalan,baseline,16796
catalan,ssa,16796
armstrong,baseline,true
armstrong,ssa,true
pascals-row,baseline,1
pascals-row,ssa,1
collatz,baseline,7
collatz,ssa,7
sum-bits,baseline,3
sum-bits,ssa,3
sqrt_bin_search,baseline,6120
sqrt_bin_search,ssa,6120
rectangles-area-difference,baseline,50
rectangles-area-difference,ssa,50
mod_inv,baseline,2393
mod_inv,ssa,2393
karatsuba,baseline,4267635650
karatsuba,ssa,4267635650
reverse,baseline,321
reverse,ssa,321
fizz-buzz,baseline,1
fizz-buzz,ssa,1
bitwise-ops,baseline,7
bitwise-ops,ssa,7
sum-digits,baseline,45
sum-digits,ssa,45
delannoy,baseline,265729
delannoy,ssa,265729
ray-sphere-intersection,baseline,true
ray-sphere-intersection,ssa,true
birthday,baseline,0.50729723432398566
birthday,ssa,0.50729723432398566
conjugate-gradient,baseline,5.00000000000000000
conjugate-gradient,ssa,5.00000000000000000
leibniz,baseline,3.14159365359077425
leibniz,ssa,timeout
n_root,baseline,1.51571786995120950
n_root,ssa,1.51571786995120950
newton,baseline,316.22618487405497945
newton,ssa,316.22618487405497945
euler,baseline,2.71828182845904553
euler,ssa,2.71828182845904553
riemann,baseline,284.00000000000000000
riemann,ssa,284.00000000000000000
mandelbrot,baseline,111111111111
mandelbrot,ssa,111111111111
logistic,baseline,0.75000000000000000
logistic,ssa,0.75000000000000000
norm,baseline,110.55285076250027032
norm,ssa,110.55285076250027032
cordic,baseline,0.86369602123419631
cordic,ssa,0.86369602123419631
exponentiation-by-squaring,baseline,3.08394593452957709e+53
exponentiation-by-squaring,ssa,3.08394593452957709e+53
pow,baseline,10.24000000000000199
pow,ssa,10.24000000000000199
ray-bbox-intersection,baseline,true
ray-bbox-intersection,ssa,true
sqrt,baseline,18.08314132002512409
sqrt,ssa,18.08314132002512409
