benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,toSSA,10
is-decreasing,baseline,127
is-decreasing,toSSA,257
reverse,baseline,46
reverse,toSSA,169
binary-fmt,baseline,100
binary-fmt,toSSA,169
rot13,baseline,8
rot13,toSSA,16
fib_iter,baseline,67
fib_iter,toSSA,186
gcd,baseline,46
gcd,toSSA,277
palindrome,baseline,298
palindrome,toSSA,1946
catalan,baseline,659378
catalan,toSSA,1889559
permutation,baseline,130
permutation,toSSA,225
mod_pow,baseline,243
mod_pow,toSSA,471
factors,baseline,72
factors,toSSA,282
digital-root,baseline,247
digital-root,toSSA,647
sum-check,baseline,5018
sum-check,toSSA,22038
lcm,baseline,2326
lcm,toSSA,5050
sum-digits,baseline,219
sum-digits,toSSA,319
primes-between,baseline,574100
primes-between,toSSA,2245379
up-arrow,baseline,252
up-arrow,toSSA,1870
sum-divisors,baseline,159
sum-divisors,toSSA,608
pascals-row,baseline,146
pascals-row,toSSA,217
quadratic,baseline,785
quadratic,toSSA,1539
totient,baseline,253
totient,toSSA,1119
armstrong,baseline,133
armstrong,toSSA,519
karatsuba,baseline,1548
karatsuba,toSSA,4294
bbs,baseline,137
bbs,toSSA,325
delannoy,baseline,5748752
delannoy,toSSA,9371676
rectangles-area-difference,baseline,14
rectangles-area-difference,toSSA,35
recfact,baseline,104
recfact,toSSA,160
euclid,baseline,563
euclid,toSSA,960
hanoi,baseline,99
hanoi,toSSA,309
fib_recursive,baseline,2693
fib_recursive,toSSA,3600
geometric-sum,baseline,35
geometric-sum,toSSA,207
combination,baseline,178
combination,toSSA,372
sum-sq-diff,baseline,3038
sum-sq-diff,toSSA,5666
fact,baseline,229
fact,toSSA,314
perfect,baseline,232
perfect,toSSA,1304
triangle,baseline,188
triangle,toSSA,818
orders,baseline,5352
orders,toSSA,13555
mccarthy91,baseline,1385
mccarthy91,toSSA,2771
sum-bits,baseline,73
sum-bits,toSSA,215
mod_inv,baseline,558
mod_inv,toSSA,1307
montgomery,baseline,17
montgomery,toSSA,37
binpow,baseline,105
binpow,toSSA,308
fitsinside,baseline,10
fitsinside,toSSA,26
bitshift,baseline,167
bitshift,toSSA,276
fizz-buzz,baseline,3652
fizz-buzz,toSSA,6760
loopfact,baseline,116
loopfact,toSSA,198
pythagorean_triple,baseline,61518
pythagorean_triple,toSSA,284845
hamming,baseline,117
hamming,toSSA,266
gebmm,baseline,3011
gebmm,toSSA,12160
bitwise-ops,baseline,1690
bitwise-ops,toSSA,8134
collatz,baseline,169
collatz,toSSA,767
relative-primes,baseline,1923
relative-primes,toSSA,4521
sqrt_bin_search,baseline,744
sqrt_bin_search,toSSA,1305
check-primes,baseline,8468
check-primes,toSSA,15125
ackermann,baseline,1464231
ackermann,toSSA,4394199
